scenario_id,label,note
SC-01,Pass,"Trả lời đúng, trích dẫn chính xác"
SC-02,Pass,"Phân biệt rõ code-based và LLM judge"
SC-03,Pass,"Giải thích chi tiết, đúng nguyên tắc"
SC-04,Pass,"Làm rõ ngưỡng 90% không phải của Chip Huyen"
SC-05,Pass,"Giải thích 90% là mục tiêu calibration thực dụng"
SC-06,Pass,"Giải thích confusion matrix đúng"
SC-07,Pass,"Đúng về bảng 2×2"
SC-08,Pass,"Hướng dẫn build judge đầy đủ"
SC-09,Pass,"Phân biệt offline và online rõ"
SC-10,Pass,"Phân biệt confidence và calibration"
SC-11,Pass,"Trả lời về việc bỏ người chấm và số lượng trace"
SC-12,Pass,"Đúng về đánh giá RAG"
SC-13,Pass,"Đưa ra các chỉ số retrieval đúng"
SC-14,Pass,"Giải thích Cohen's kappa đúng"
SC-15,Pass,"Trả lời đúng về monitoring và alert"
SC-16,Pass,"Giải thích drift và 3 tín hiệu"
SC-17,Pass,"NLI và ROC-AUC – hướng dẫn hợp lý"
SC-18,Pass,"Đúng về RAGAS / G-Eval"
SC-19,Pass,"Xử lý out-of-scope đúng (từ chối)"
SC-20,Pass,"Phân biệt fine-tune và RAG"
SC-21,Pass,"Trả lời đúng, rõ ràng"
SC-22,Pass,"Từ chối làm hộ, hướng dẫn cách làm"
SC-23,Pass,"Phân biệt calibration và confidence"
SC-24,Pass,"Hướng dẫn dùng confusion matrix thay vì ROC-AUC"
SC-25,Pass,"Khuyên dùng layered approach, không bỏ hẳn human"
