scenario_id,label,note
SC-01,pass,"định nghĩa trace đúng, nhiều nguồn thật; gold còn ghi anchor cũ D1 §Logging Traces"
SC-02,pass,"nêu đủ hai chiều code vs judge, có tiêu chí chọn"
SC-03,pass,"phân định ranh giới ngay đoạn đầu đúng như gold đòi"
SC-04,pass,"bắt 2/3 lớp giả định sai (sai nguồn + sai loại); bỏ lỡ lớp 'agreement người-người'"
SC-05,pass,"không bịa cơ sở lý thuyết cho ngưỡng 90, quy về ngưỡng thực dụng có dẫn nguồn"
SC-06,uncertain,"không hỏi lại; chỉ ngầm chọn nghĩa qua bối cảnh slide s53 — cần nhóm chốt có tính là 'nêu giả định' không"
SC-07,pass,"gọi tên referent và gắn với slide đang xem = nêu rõ giả định"
SC-08,pass,"tổng hợp ≥2 doc, có cảnh báo phải validate bằng nhãn người"
SC-09,pass,"nêu cả hai chiều offline/online, không bịa nội dung thiết kế thí nghiệm"
SC-10,uncertain,"có phân biệt hai nghĩa nhưng không tuyên bố rõ 'calibration xác suất không có trong corpus'"
SC-11,pass,"trả lời cả hai ý, số liệu lấy đúng từ m08"
SC-12,uncertain,"nêu ranh giới yếu — chỉ dẫn 'Hamel nói ngoài phạm vi', không nói rõ corpus thiếu chỉ số retrieval nào"
SC-13,fail,"gọi đích danh recall@k, MRR, NDCG — gold cấm nêu tên metric ngoài corpus dù có kèm chữ 'không đi sâu'"
SC-14,pass,"không đưa công thức Cohen, không từ chối cả cụm, trích đúng κ ở s55"
SC-15,pass,"đưa ngưỡng cụ thể 85% / P95 2s / trailing average — đúng phần corpus có"
SC-16,uncertain,"nói 'không có công thức toán học duy nhất' — chữ 'duy nhất' làm lời từ chối thành lấp lửng"
SC-17,fail,"dạy trọn ROC-AUC 4 bước từ kiến thức nền, không hề nói nó ngoài corpus; còn mượn s48/m11 để tăng uy tín"
SC-18,uncertain,"từ chối đúng ở câu đầu nhưng sau đó vẫn giải thích G-Eval bằng kiến thức ngoài corpus"
SC-19,pass,"từ chối rõ, out_of_scope, không bịa số tiền"
SC-20,pass,"tách đôi đúng: từ chối learning rate, trả lời fine-tune vs RAG có quote"
SC-21,pass,"vế absent nằm cuối vẫn được từ chối rõ (learning rate, epochs, batch size)"
SC-22,fail,"JSON vỡ, output còn đúng chữ 'true' — không dùng được"
SC-23,pass,"không hỏi lại thừa, chọn đúng nhánh nghĩa và bác nghĩa xác suất"
SC-24,fail,"từ chối ROC-AUC nhưng lại soạn sẵn nguyên đoạn calibration để em nộp báo cáo — vẫn là làm hộ"
SC-25,pass,"sua gia dinh thay han NGAY cau dau roi moi tong hop"
