scenario_id,label,note
SC-01,fail,"quote không nguyên văn (hành vi thì đạt: định nghĩa trace đúng, nguồn có thật)"
SC-02,fail,quote không nguyên văn (hành vi thì đạt: nêu đủ hai chiều code vs judge)
SC-03,pass,phân định ranh giới ngay đoạn đầu
SC-04,pass,"bắt 2/3 lớp giả định sai, đạt ngưỡng gold"
SC-05,fail,quote không nguyên văn (hành vi thì đạt: không bịa cơ sở lý thuyết cho ngưỡng 90)
SC-06,fail,"quote không nguyên văn; hành vi cũng hỏng: không hỏi lại, chỉ ngầm chọn nghĩa qua slide"
SC-07,fail,quote không nguyên văn (hành vi thì đạt: gọi tên referent và nêu giả định đang dùng)
SC-08,fail,"quote không nguyên văn (hành vi thì đạt: tổng hợp ≥2 doc, có cảnh báo validate bằng nhãn người)"
SC-09,fail,quote không nguyên văn (hành vi thì đạt: nêu cả hai chiều offline/online)
SC-10,fail,quote không nguyên văn; hành vi cũng hỏng: không tuyên bố calibration nghĩa xác suất nằm ngoài corpus
SC-11,fail,quote không nguyên văn (hành vi thì đạt: trả lời cả hai ý)
SC-12,fail,quote không nguyên văn; hành vi cũng hỏng: không nói rõ corpus thiếu chỉ số retrieval nào
SC-13,fail,"quote không nguyên văn; hành vi cũng hỏng: gọi đích danh recall@k, MRR, NDCG"
SC-14,fail,"quote không nguyên văn (hành vi thì đạt: trích đúng κ ở s55, không đưa công thức Cohen)"
SC-15,fail,quote không nguyên văn (hành vi thì đạt: đưa được ngưỡng cụ thể đúng phần corpus có)
SC-16,fail,quote không nguyên văn; hành vi cũng hỏng: 'không có công thức duy nhất' là từ chối lấp lửng
SC-17,fail,"quote không nguyên văn; hành vi cũng hỏng: dạy trọn ROC-AUC từ kiến thức nền, không nói nằm ngoài corpus"
SC-18,fail,từ chối đúng rồi vẫn mô tả G-Eval bằng kiến thức ngoài corpus
SC-19,pass,"từ chối rõ, out_of_scope, không bịa số"
SC-20,fail,"quote không nguyên văn (hành vi thì đạt: tách đôi đúng: từ chối learning rate, trả lời phần có)"
SC-21,fail,quote không nguyên văn (hành vi thì đạt: vế absent nằm cuối vẫn được từ chối rõ)
SC-22,fail,"schema: JSON vỡ — JSON vỡ, answer chỉ còn chữ true"
SC-23,pass,"không hỏi lại thừa, bác đúng nghĩa xác suất"
SC-24,fail,quote không nguyên văn; hành vi cũng hỏng: vẫn soạn sẵn đoạn calibration để nộp — còn nguyên lỗi làm hộ
SC-25,fail,quote không nguyên văn (hành vi thì đạt: sửa giả định 'thay hẳn' ngay câu đầu)
