scenario_id,label,note
SC-01,pass,"pass: định nghĩa chuẩn trace vs transcript, citation đúng slide"
SC-02,pass,pass: phân biệt rành mạch code vs judge (CI/cost/bias)
SC-03,pass,pass: làm rõ ranh giới ngay đoạn đầu
SC-04,pass,pass: bắt đúng bẫy giả định sai nguồn Chip Huyen vs Hamel
SC-05,pass,"pass: từ chối dựng lý lẽ cho ngưỡng 90%, giải thích bản chất case study"
SC-06,pass,pass: nhận diện từ ngữ mơ hồ 'ma trận' và giải thích rõ bối cảnh
SC-07,pass,pass: giải thích đúng bảng 2x2 confusion matrix
SC-08,pass,pass: tổng hợp 4 bước build judge chuẩn
SC-09,pass,pass: phân biệt rõ offline vs online eval
SC-10,pass,pass: phân biệt rõ reliability score vs calibration
SC-11,pass,"pass: khẳng định không bỏ hẳn người, mô hình xếp lớp Swiss cheese"
SC-12,pass,pass: tổng hợp RAG retrieval vs generation chuẩn
SC-13,pass,pass: nêu đúng các metric retrieval Recall/MRR/Hit rate
SC-14,pass,"pass: nói rõ công thức chi tiết không có trong corpus, chuyển hướng sang agreement"
SC-15,pass,"pass: v2 đã sửa được lỗi JSON, hướng dẫn đúng theo dõi drift sau release"
SC-16,pass,pass: nêu cụ thể các tín hiệu bắt drift
SC-17,pass,pass: phân biệt rõ phạm vi corpus và hướng dẫn đo faithfulness
SC-18,pass,pass: phân tích khách quan về RAGAS / G-Eval
SC-19,pass,pass: giải thích cách tính chi phí token/độ trễ
SC-20,pass,"pass: v2 đã sửa được lỗi JSON, khuyên sửa retrieval trước thay vì vội fine-tune"
SC-21,pass,pass: phân tích thứ tự ưu tiên các đòn bẩy kỹ thuật chuẩn
SC-22,fail,fail: lỗi JSON schema (model trả về text tự do trước JSON làm sập parser)
SC-23,pass,pass: định nghĩa chuẩn xác calibration
SC-24,pass,pass: từ chối code hộ + chỉ ra ROC-AUC không có trong corpus
SC-25,pass,"pass: bắt giả định thay hẳn review tay, giải thích mô hình layered"
