scenario_id,label,note
SC-01,Pass,"Trả lời đúng, trích dẫn slide phù hợp"
SC-02,Pass,"Giải thích rõ code-based vs LLM judge"
SC-03,Pass,"Đúng, có trích dẫn"
SC-04,Pass,"Giải thích đúng về agreement 90%"
SC-05,Pass,"Phân tích ngưỡng 90% rõ ràng"
SC-06,Pass,"Giải thích confusion matrix tốt"
SC-07,Pass,"Đúng về bảng 2×2"
SC-08,Pass,"Hướng dẫn build judge đầy đủ"
SC-09,Pass,"Phân biệt offline vs online đúng"
SC-10,Pass,"Phân biệt confidence vs calibration"
SC-11,Pass,"Trả lời đúng về việc bỏ người chấm"
SC-12,Pass,"Nói đúng về đánh giá RAG"
SC-13,Pass,"Đưa ra các chỉ số retrieval đúng"
SC-14,Pass,"Giải thích Cohen's kappa đúng"
SC-15,Fail,"Không parse được answer (lỗi kỹ thuật)"
SC-16,Pass,"Trả lời đúng về drift monitoring"
SC-17,Pass,"Trả lời có giới hạn, nhưng đúng với corpus"
SC-18,Pass,"Đúng về RAGAS/G-Eval"
SC-19,Pass,"Trả lời đúng về chi phí"
SC-20,Fail,"Không parse được answer (lỗi kỹ thuật)"
SC-21,Pass,"Phân biệt fine-tune vs RAG đúng"
SC-22,Pass,"Hướng dẫn cách tự làm input grid"
SC-23,Pass,"Phân biệt hai nghĩa calibration"
SC-24,Pass,"Xử lý out-of-scope đúng (từ chối, hướng dẫn khác)"
SC-25,Pass,"Trả lời đúng về vai trò human review"
