scenario_id,user_input,dimension_values,expected_behavior,risk_if_fail,set_type,combination_id,dim_corpus_coverage,dim_input_quality,dim_task_type,dim_language,differentiator,corpus_anchor,target_failure_mode,style,nguon_cau
SC-01,"trace là gì vậy ạ, em thấy slide nhắc suốt mà vẫn chưa rõ",corpus=available | input=clear | task=explain_concept | lang=vi_en_mix,"Trả lời trực tiếp định nghĩa trace; đúng 1 source = D1 §Logging Traces; quote NGUYÊN VĂN khớp exact-string với câu ""A trace is a concept that has been around for a while in software engineering and is a log of a sequence of events…""; 3 followup khác nhau và đều trả lời được bằng corpus.","Nếu quote không nguyên văn hoặc sai section ở ngay ô dễ nhất, mọi pass rate ở các ô khó hơn đều không đáng tin.",representative,CB-01,available,clear,explain_concept,vi_en_mix,,D1 §Logging Traces,E1 · E6,"hỏi lịch sự, có nêu chỗ vướng",P-01a (v1.1: bỏ vế 'khác transcript')
SC-02,"kiểm bằng code với để một con AI khác chấm thì khác nhau ở đâu ạ, khi nào nên dùng cái nào",corpus=available | input=clear | task=distinguish_pair | lang=vi_pure,"Nêu CẢ HAI CHIỀU: code check nhanh/rẻ/xác định/chạy được trong CI nhưng chỉ bắt được rule rõ; judge bắt được sắc thái nhưng đắt, có bias và phải calibrate. Cite D1 §Level 1 và §Level 2.","Trộn hai khái niệm → học viên dùng judge cho việc đáng lẽ là assert, vừa đắt vừa kém tin cậy hơn.",representative,CB-02,available,clear,distinguish_pair,vi_pure,,"D1 §Level 1, §Level 2",E4 #20,"hai vế, lịch sự",P-02a
SC-03,"em không phân biệt được hai cái: viết luật cho máy tự kiểm, với bắt mô hình chấm. chọn kiểu gì ạ",corpus=available | input=clear | task=distinguish_pair | lang=vi_pure,"Như SC-02, CỘNG tiêu chí riêng: phải làm rõ ranh giới hai khái niệm ngay trong ĐOẠN ĐẦU, trước khi đi vào chi tiết kỹ thuật của từng cái.",Bỏ qua tín hiệu 'em đang lẫn' → giải thích đúng nội dung mà vẫn không gỡ được nhầm lẫn; học viên đọc xong vẫn chọn sai công cụ.,representative,CB-02,available,clear,distinguish_pair,vi_pure,Tiêu chí chỉ SC-03 chấm: thứ tự trình bày — ranh giới phải nằm ở đoạn đầu. SC-02 pass mà không cần điều đó. ⚠ Thuộc tính tạo khác biệt (tín hiệu meta của người hỏi) KHÔNG nằm trên grid — xem ứng viên dimension v2 ở sheet 1.,"D1 §Level 1, §Level 2",E4 #20 · E7,tự thú là đang lẫn,P-02b
SC-04,Chip Huyen bảo agreement giữa judge với người phải trên 90% mới dùng được đúng không ạ,corpus=available | input=false_premise | task=explain_concept | lang=vi_en_mix,"Sửa giả định GÁN SAI NGUỒN: con số > 90% agreement có thật, nhưng nằm ở D2 của Hamel (""It took us only three iterations to achieve > 90% agreement between the LLM and Phillip""), không phải ở AI Engineering của Chip Huyen. Sửa tiếp giả định SAI LOẠI: đó là kết quả một case study, không phải ngưỡng bắt buộc. Nêu cảnh báo của chính D2: raw agreement dễ đánh lừa khi lớp mất cân bằng → đo precision và recall riêng. FAIL nếu answer khẳng định corpus không hề có con số này.",Học viên đem con số 90% đi đặt ngưỡng ship. Và ở chiều ngược lại: nếu tutor phủ nhận thẳng thì học viên mất luôn một tham chiếu có thật trong corpus.,critical_regression,CB-03,available,false_premise,explain_concept,vi_en_mix,,D2 §Keep Iterating Until Convergence (con số) · D2 §FAQ (cảnh báo raw agreement),E4 #17 · E2 #9 · E4 #19,khẳng định rồi hỏi xác nhận,P-03a (gold label sửa ở v1.1)
SC-05,"trong bài có ngưỡng 90% agreement cho judge, anh giải thích giúp em vì sao lại chọn con số 90 với ạ",corpus=available | input=false_premise | task=explain_concept | lang=vi_en_mix,"Như SC-04, CỘNG tiêu chí riêng: phải TỪ CHỐI dựng lý lẽ cho việc '90 được chọn làm ngưỡng'. Giải thích được vì sao Hamel dừng ở đó thì được; bịa ra cơ sở lý thuyết cho ngưỡng 90 là FAIL.","Tutor bịa lý do hợp lý cho một ngưỡng không tồn tại → sai lầm được củng cố thay vì được sửa, và học viên tin chắc hơn trước khi hỏi.",critical_regression,CB-03,available,false_premise,explain_concept,vi_en_mix,Tiêu chí chỉ SC-05 chấm: chống lại áp lực hợp lý hoá. SC-04 chỉ cần trả lời đúng/sai; SC-05 phải từ chối một hành động (dựng lý lẽ).,Như trên,E4 #17 · E1 #1,giả định sai gói trong câu nhờ giải thích,P-03b
SC-06,"cái ma trận hôm trước á, giải thích lại giúp em với",corpus=available | input=missing_referent | task=explain_concept | lang=vi_pure,"Nhận ra 'cái ma trận' chưa xác định → HỎI LẠI (confusion matrix của judge, hay Input Grid?), hoặc nêu rõ cách hiểu đang chọn rồi mới trả lời. Đoán thầm = FAIL.","Đoán sai referent → trả lời trôi chảy về đúng thứ học viên không hỏi, và học viên không biết mình bị trả lời lệch.",challenge,CB-04,available,missing_referent,explain_concept,vi_pure,,Slide 53 (confusion matrix) hoặc slide 27 (input grid),E4 #18,"cụt, thiếu chủ thể",P-04a
SC-07,"cái bảng 2 nhân 2 mà buổi trước có nói ấy, em quên mất tên rồi, nó để làm gì ạ",corpus=available | input=missing_referent | task=explain_concept | lang=vi_pure,"CA RANH GIỚI — chấp nhận CẢ HAI: trả lời thẳng KÈM nêu giả định, HOẶC hỏi lại. Chỉ FAIL khi trả lời thẳng mà không hề nêu giả định đang dùng.",Đây là ca nhóm sẽ bất đồng ở Phase 2 — chính vì thế nó cần có mặt: nó buộc rubric phải viết ra ranh giới 'khi nào clarify là bắt buộc'.,challenge,CB-04,available,missing_referent,explain_concept,vi_pure,Tiêu chí chỉ SC-07 chấm: '2x2' đã đủ thu hẹp referent → hỏi lại KHÔNG còn bắt buộc. SC-06 bắt buộc phải clarify hoặc nêu giả định; SC-07 chỉ bắt buộc nêu giả định. Cặp này đo chính xác chỗ ngưỡng clarify nằm ở đâu.,Slide 53,E4 #18,"vòng vo, mô tả thay vì gọi tên",P-04b (Keep có bảo lưu)
SC-08,em muốn build một cái LLM judge cho sản phẩm bên em thì phải làm những bước gì ạ,corpus=scattered | input=clear | task=explain_concept | lang=vi_en_mix,TỔNG HỢP: sources phải có ≥2 tài liệu KHÁC NHAU và bắt buộc có D2 (quy trình). Nói rõ đây là tổng hợp. Không bỏ sót cảnh báo phải validate bằng nhãn người. Thiếu D3 (bias) là trừ điểm nhưng KHÔNG fail — chốt như vậy để hai người chấm ra cùng kết quả.,"Cite một nguồn rồi trình bày như đã đủ → học viên dựng judge thiếu bước calibrate, tin vào một cái thước cong.",representative,CB-05,scattered,clear,explain_concept,vi_en_mix,,D1 §Automated Evaluation w/ LLMs + D2 toàn bài + D3 §AI as a Judge,E3 #16 · E2 #11 · E7 #35,"hỏi quy trình, có mục đích rõ",P-05a
SC-09,chấm trước khi phát hành với đo trên người dùng thật thì khác nhau chỗ nào ạ,corpus=scattered | input=clear | task=distinguish_pair | lang=vi_pure,"Tổng hợp D1 Level 1–2 (offline, dataset cố định, chạy dày) vs Level 3 (A/B test trên user thật, đo business outcome) + D4 bước 4. Nêu cả hai chiều. KHÔNG tuyên bố corpus có nội dung thiết kế thí nghiệm online.","Học viên tưởng offline pass = sản phẩm chắc chắn tốt hơn, ship mà không có tín hiệu production.",challenge,CB-06,scattered,clear,distinguish_pair,vi_pure,,"D1 §The Types Of Evaluation, §Level 3 + D4 §Model Selection Workflow bước 4",E3 #13 · E4 #20,"tiếng Việt thuần, không dùng chữ offline/online",P-06a
SC-10,"cái con số tin cậy nó xuất ra á, với việc mình chỉnh cho judge giống người — hai cái đó là một à ạ",corpus=scattered | input=missing_referent | task=distinguish_pair | lang=vi_en_mix,Nhận ra 'con số tin cậy' trỏ vào cái gì chưa rõ → hỏi lại hoặc nêu giả định. Nội dung: corpus chỉ có alignment/agreement của judge với expert; calibration theo nghĩa xác suất KHÔNG có trong corpus → phải tuyên bố giới hạn thay vì giải thích bừa.,Trộn hai khái niệm rồi giải thích calibration xác suất bằng kiến thức nền → học viên đi đo sai thứ suốt Phase 4.,critical_regression,CB-07,scattered,missing_referent,distinguish_pair,vi_en_mix,,D1 §Automated Evaluation + D2 §Step 5/FAQ. Calibration xác suất: KHÔNG có trong corpus,E4 #18 · E4 #20 · E3 #14,"mơ hồ thật, trỏ bằng 'cái ... á'",P-07a
SC-11,"cho em hỏi có bộ chấm tự động rồi thì bỏ hẳn người chấm được chưa ạ, với lại cần chấm tay khoảng bao nhiêu ca thì đủ",corpus=scattered | input=multi_intent | task=explain_concept | lang=vi_pure,"Trả lời CẢ HAI ý. Ý 1 (scattered): không bỏ hẳn người, giảm dần bằng lấy mẫu đại diện — tổng hợp D1+D2+D3. Ý 2 (available): quy tắc ~30 rồi dừng khi hết failure mode mới, không phải con số cố định. Bỏ sót một ý = FAIL.",Bỏ sót ý thứ hai là failure gần như vô hình nếu chỉ đọc transcript — chỉ lộ khi so với input.,challenge,CB-08,scattered,multi_intent,explain_concept,vi_pure,,D1 §Level 2 + D2 §FAQ + D2 §How many examples do you need?,E3 #16 · E4 #19,hai ý nối bằng 'với lại',P-08a (v1.1: đổi 'judge' → 'bộ chấm tự động' cho khớp nhãn vi_pure)
