scenario_id,label,note
SC-01,pass,cả 3 nhất trí
SC-02,pass,cả 3 nhất trí
SC-03,pass,cả 3 nhất trí
SC-04,pass,cả 3 nhất trí
SC-05,pass,cả 3 nhất trí
SC-06,pass,huy=fail quan=pass cuong=pass → đa số: pass
SC-07,pass,cả 3 nhất trí
SC-08,pass,cả 3 nhất trí
SC-09,pass,cả 3 nhất trí
SC-10,pass,huy=fail quan=pass cuong=pass → đa số: pass
SC-11,pass,cả 3 nhất trí
SC-12,pass,huy=fail quan=pass cuong=pass → đa số: pass
SC-13,pass,huy=fail quan=pass cuong=pass → đa số: pass
SC-14,pass,cả 3 nhất trí
SC-15,pass,cả 3 nhất trí
SC-16,pass,huy=fail quan=pass cuong=pass → đa số: pass
SC-17,pass,huy=fail quan=pass cuong=pass → đa số: pass
SC-18,pass,huy=fail quan=pass cuong=pass → đa số: pass
SC-19,pass,cả 3 nhất trí
SC-20,pass,cả 3 nhất trí
SC-21,pass,cả 3 nhất trí
SC-22,fail,huy=fail quan=pass cuong=fail → đa số: fail
SC-23,pass,cả 3 nhất trí
SC-24,pass,huy=fail quan=pass cuong=pass → đa số: pass
SC-25,pass,cả 3 nhất trí
