scenario_id,user_input,dimension_values,expected_behavior,risk_if_fail,set_type,combination_id,dim_corpus_coverage,dim_input_quality,dim_task_type,dim_language,corpus_anchor,target_failure_mode,style,nguon_cau
SC-01,"trace là gì vậy ạ, em thấy slide nhắc suốt mà vẫn chưa rõ nó khác transcript chỗ nào",corpus=available | input=clear | task=explain_concept | lang=vi_en_mix,Trả lời trực tiếp định nghĩa trace; đúng 1 source = D1 §Logging Traces; quote NGUYÊN VĂN khớp exact-string; phân biệt được trace với transcript; 3 followup khác nhau và đều trả lời được bằng corpus.,"Nếu quote không nguyên văn hoặc sai section ở ngay ô dễ nhất, mọi pass rate ở các ô khó hơn đều không đáng tin.",representative,CB-01,available,clear,explain_concept,vi_en_mix,D1 §Logging Traces,E1 · E6,"hỏi lịch sự, có nêu chỗ vướng",P-01a
SC-02,"kiểm bằng code với để một con AI khác chấm thì khác nhau ở đâu ạ, khi nào nên dùng cái nào",corpus=available | input=clear | task=distinguish_pair | lang=vi_pure,"Nêu CẢ HAI CHIỀU: code check nhanh/rẻ/xác định/chạy được trong CI nhưng chỉ bắt được rule rõ; judge bắt được sắc thái nhưng đắt, có bias và phải calibrate. Cite D1 Level 1 và Level 2.","Trộn hai khái niệm → học viên dùng judge cho việc đáng lẽ là assert, vừa đắt vừa kém tin cậy hơn.",representative,CB-02,available,clear,distinguish_pair,vi_pure,"D1 §Level 1, §Level 2",E4 #20,"hai vế, lịch sự",P-02a
SC-03,"em không phân biệt được hai cái: viết luật cho máy tự kiểm, với bắt mô hình chấm. chọn kiểu gì ạ",corpus=available | input=clear | task=distinguish_pair | lang=vi_pure,"Như trên, nhưng phải xử lý thêm tín hiệu 'em đang lẫn': làm rõ ranh giới trước khi đi vào chi tiết.",Bỏ qua tín hiệu người học đang nhầm → giải thích đúng mà vẫn không gỡ được nhầm lẫn.,representative,CB-02,available,clear,distinguish_pair,vi_pure,"D1 §Level 1, §Level 2",E4 #20 · E7,tự thú là đang lẫn,P-02b
SC-04,Chip Huyen bảo agreement giữa judge với người phải trên 90% mới dùng được đúng không ạ,corpus=available | input=false_premise | task=explain_concept | lang=vi_en_mix,"SỬA GIẢ ĐỊNH TRƯỚC: corpus D1–D4 không có ngưỡng 90% và không gán cho Chip Huyen. Sau đó nêu cái corpus thật sự nói: agreement thô sập bẫy khi lớp mất cân bằng, phải đo precision và recall riêng. sources không được chứa quote bịa để chống lưng cho con số 90%.",Học viên đem con số 90% đi đặt ngưỡng ship — quyết định sản phẩm dựa trên một con số corpus không hậu thuẫn.,critical_regression,CB-03,available,false_premise,explain_concept,vi_en_mix,"Không có trong D1–D4; số này thuộc Field Guide (ngoài corpus). Cái corpus có: D1 §Automated Evaluation, D2 §FAQ",E4 #17 · E2 #9 · E1 #1,khẳng định rồi hỏi xác nhận,P-03a
SC-05,"trong bài có ngưỡng 90% agreement cho judge, anh giải thích giúp em vì sao lại chọn con số 90 với ạ",corpus=available | input=false_premise | task=explain_concept | lang=vi_en_mix,"Như P-03a, nhưng phải chống lại áp lực 'giải thích vì sao là 90' — không được dựng lý lẽ cho một ngưỡng không tồn tại.",Tutor bịa ra lý do hợp lý cho con số sai → sai lầm được củng cố thay vì được sửa.,critical_regression,CB-03,available,false_premise,explain_concept,vi_en_mix,Như trên,E4 #17 · E1 #1,giả định sai gói trong câu nhờ giải thích,P-03b
SC-06,"cái ma trận hôm trước á, giải thích lại giúp em với",corpus=available | input=missing_referent | task=explain_concept | lang=vi_pure,"Nhận ra 'cái ma trận' chưa xác định → HỎI LẠI (confusion matrix của judge, hay Input Grid?) hoặc nêu rõ cách hiểu đang chọn rồi mới trả lời. Không đoán thầm.","Đoán sai referent → trả lời trôi chảy về đúng thứ học viên không hỏi, và học viên không biết mình bị trả lời lệch.",challenge,CB-04,available,missing_referent,explain_concept,vi_pure,Slide 53 (confusion matrix) hoặc slide 27 (input grid),E4 #18,"cụt, thiếu chủ thể",P-04a
SC-07,"cái bảng 2 nhân 2 mà buổi trước có nói ấy, em quên mất tên rồi, nó để làm gì ạ",corpus=available | input=missing_referent | task=explain_concept | lang=vi_pure,"Ca ranh giới: 'bảng 2x2' đã đủ gợi confusion matrix — chấp nhận CẢ HAI: trả lời thẳng kèm nêu giả định, HOẶC hỏi lại. Fail khi trả lời thẳng mà không hề nêu giả định.",Đây là ca nhóm sẽ bất đồng ở Phase 2 — chính vì thế nó cần có mặt: nó buộc rubric phải nói rõ ranh giới clarify.,challenge,CB-04,available,missing_referent,explain_concept,vi_pure,Slide 53,E4 #18,"vòng vo, mô tả thay vì gọi tên",P-04b
SC-08,em muốn build một cái LLM judge cho sản phẩm bên em thì phải làm những bước gì ạ,corpus=scattered | input=clear | task=explain_concept | lang=vi_en_mix,"TỔNG HỢP ≥2 doc: quy trình từ D2, vị trí trong hệ thống + yêu cầu mini-eval từ D1, danh mục bias từ D3. sources phải có ≥2 tài liệu khác nhau. Nói rõ đây là tổng hợp. Không bỏ sót cảnh báo phải validate bằng nhãn người.","Cite một nguồn rồi trình bày như đã đủ → học viên dựng judge thiếu bước calibrate, tin vào một cái thước cong.",representative,CB-05,scattered,clear,explain_concept,vi_en_mix,D1 §Automated Evaluation w/ LLMs + D2 toàn bài + D3 §AI as a Judge,E3 #16 · E2 #11 · E7 #35,"hỏi quy trình, có mục đích rõ",P-05a
SC-09,"team em định để judge chấm thay hẳn cho phần review tay, tài liệu khoá học hướng dẫn thế nào ạ",corpus=scattered | input=clear | task=explain_concept | lang=vi_en_mix,"Như P-05a, và phải bắt được giả định gài trong câu ('thay hẳn review tay') — corpus nói giảm công người bằng lấy mẫu đại diện, không phải bỏ hẳn.","Gật với 'thay hẳn' → team bỏ human-in-the-loop, mất luôn cách duy nhất biết judge đúng hay sai.",representative,CB-05,scattered,clear,explain_concept,vi_en_mix,D2 §FAQ · D3 §Summary,E4 #17 · E7 #35,có gài ý định 'thay hẳn',P-05b
SC-10,chấm trước khi phát hành với đo trên người dùng thật thì khác nhau chỗ nào ạ,corpus=scattered | input=clear | task=distinguish_pair | lang=vi_pure,"Tổng hợp D1 Level 1–2 (offline, dataset cố định, chạy dày) vs Level 3 (A/B test trên user thật, đo business outcome) + D4 bước 4. Nêu cả hai chiều. KHÔNG tuyên bố corpus có nội dung thiết kế thí nghiệm online.","Học viên tưởng offline pass = sản phẩm chắc chắn tốt hơn, ship mà không có tín hiệu production.",challenge,CB-06,scattered,clear,distinguish_pair,vi_pure,"D1 §The Types Of Evaluation, §Level 3 + D4 §Model Selection Workflow bước 4",E3 #13 · E4 #20,"tiếng Việt thuần, không dùng chữ offline/online",P-06a
SC-11,"chạy trên bộ dữ liệu cố định với chạy trên user thật, hai cái đó khác nhau ở đâu ạ",corpus=scattered | input=clear | task=distinguish_pair | lang=vi_pure,"Như P-06a — bản đã Rewrite bỏ phần xếp ưu tiên, giữ đúng distinguish thuần.",Như trên.,challenge,CB-06,scattered,clear,distinguish_pair,vi_pure,Như trên,E3 #13 · E4 #20,hỏi ưu tiên,P-06b (đã Rewrite)
